PROVINCE_NAME,DISTRICT_NAME,LOCATION_ID
Central,Kandy,38766
Central,Kandy,38769
Central,Kandy,38778
Uva,Badulla,38812
Western,Gampaha,38939
Western,Gampaha,38953
Western,Gampaha,38958
Sabaragamuwa,Kegalle,38967
Central,Kandy,39006
Central,Kandy,39008
Central,Kandy,39010
Central,Kandy,39011
Central,Kandy,39017
Eastern,Ampara,39113
Eastern,Ampara,39148
Eastern,Ampara,39149
North Western,Puttalam,39176
North Western,Puttalam,39178
Western,Gampaha,39191
Western,Gampaha,39201
Sabaragamuwa,Kegalle,39230
Sabaragamuwa,Kegalle,39236
Sabaragamuwa,Kegalle,39246
Central,Kandy,39252
Central,Kandy,39255
Central,Kandy,39260
Central,Kandy,39262
Central,Kandy,39263
Central,Kandy,39268
Central,Kandy,39269
Central,Kandy,39271
Central,Kandy,39274
Central,Kandy,39275
Eastern,Ampara,39375
Eastern,Ampara,39391
North Western,Puttalam,39427
North Western,Puttalam,39428
North Western,Puttalam,39430
North Western,Puttalam,39433
Western,Gampaha,39446
Western,Gampaha,39457
Central,Kandy,39514
Central,Kandy,39515
Central,Kandy,39516
Central,Kandy,39517
Central,Kandy,39535
Central,Kandy,39554
Uva,Badulla,39559
Eastern,Ampara,39631
Eastern,Ampara,39632
Eastern,Ampara,39633
Eastern,Ampara,39652
North Western,Puttalam,39683
North Western,Puttalam,39687
Western,Gampaha,39706
Western,Gampaha,39710
North Western,Kurunegala,39722
Sabaragamuwa,Kegalle,39731
Central,Kandy,39750
Central,Kandy,39755
Central,Kandy,39759
Central,Kandy,39762
Central,Kandy,39764
Central,Kandy,39765
Central,Kandy,39766
Central,Kandy,39767
Central,Kandy,39769
Central,Kandy,39772
Central,Kandy,39776
Central,Kandy,39777
Central,Kandy,39790
Central,Kandy,39791
Central,Kandy,39796
Uva,Badulla,39832
Eastern,Ampara,39883
North Western,Puttalam,39930
North Western,Puttalam,39932
North Western,Kurunegala,39941
Western,Gampaha,39948
North Western,Kurunegala,39969
Central,Kandy,40018
Central,Kandy,40031
Eastern,Ampara,40133
North Western,Puttalam,40180
North Western,Puttalam,40188
North Western,Kurunegala,40196
Sabaragamuwa,Kegalle,40242
Central,Kandy,40246
Central,Kandy,40259
Central,Kandy,40264
Central,Kandy,40267
Central,Kandy,40268
Central,Kandy,40270
Central,Kandy,40276
Central,Kandy,40286
Central,Kandy,40295
North Western,Puttalam,40431
North Western,Puttalam,40432
North Western,Kurunegala,40442
North Western,Kurunegala,40447
North Western,Kurunegala,40448
North Western,Kurunegala,40451
North Western,Kurunegala,40457
Central,Kandy,40500
Central,Kandy,40512
Central,Kandy,40518
Central,Kandy,40519
Central,Kandy,40522
Central,Kandy,40524
Central,Kandy,40525
Central,Kandy,40532
Uva,Badulla,40560
Uva,Badulla,40566
Eastern,Ampara,40633
North Western,Puttalam,40687
North Western,Kurunegala,40713
North Western,Kurunegala,40719
North Western,Kurunegala,40732
North Western,Kurunegala,40733
Central,Kandy,40766
Uva,Badulla,40810
Eastern,Ampara,40894
North Western,Puttalam,40933
North Western,Puttalam,40936
North Western,Puttalam,40939
North Western,Kurunegala,40954
North Western,Kurunegala,40982
Central,Kandy,41021
Central,Kandy,41024
Uva,Badulla,41061
Eastern,Ampara,41145
Eastern,Ampara,41157
North Western,Puttalam,41183
North Western,Kurunegala,41200
Central,Kandy,41262
Central,Kandy,41265
Central,Kandy,41270
Central,Kandy,41277
Uva,Badulla,41318
Eastern,Ampara,41401
Eastern,Ampara,41407
North Western,Puttalam,41437
North Western,Kurunegala,41459
North Western,Kurunegala,41465
North Western,Kurunegala,41469
Central,Kandy,41508
Central,Kandy,41520
Central,Kandy,41522
Central,Kandy,41526
Central,Kandy,41532
Central,Kandy,41558
Eastern,Ampara,41635
Eastern,Ampara,41653
Eastern,Ampara,41658
North Western,Puttalam,41692
North Western,Kurunegala,41696
Central,Kandy,41764
Central,Kandy,41772
Eastern,Ampara,41893
Eastern,Ampara,41904
Eastern,Ampara,41905
North Western,Puttalam,41936
North Western,Puttalam,41941
North Western,Kurunegala,41958
North Western,Kurunegala,41990
Central,Kandy,42023
Central,Kandy,42026
Central,Kandy,42029
Uva,Badulla,42074
Uva,Badulla,42085
Eastern,Ampara,42095
Eastern,Ampara,42147
Eastern,Ampara,42160
North Western,Kurunegala,42200
North Western,Kurunegala,42213
Central,Kandy,42267
Central,Kandy,42271
Central,Kandy,42274
Central,Matale,42283
Central,Kandy,42291
Eastern,Ampara,42342
Eastern,Ampara,42411
North Western,Puttalam,42438
North Western,Kurunegala,42454
North Western,Kurunegala,42471
North Western,Kurunegala,42478
North Western,Kurunegala,42487
North Western,Kurunegala,42503
North Western,Kurunegala,42514
Central,Kandy,42521
Central,Matale,42533
Eastern,Ampara,42644
Eastern,Ampara,42661
North Western,Puttalam,42695
North Western,Kurunegala,42744
North Western,Kurunegala,42750
Eastern,Ampara,42846
Eastern,Ampara,42905
Eastern,Ampara,42912
North Western,Puttalam,42939
North Western,Puttalam,42940
North Western,Puttalam,42944
North Western,Puttalam,42949
North Western,Kurunegala,43011
Central,Kandy,43021
Central,Matale,43030
Eastern,Ampara,43151
Eastern,Ampara,43160
Eastern,Ampara,43162
North Western,Kurunegala,43213
North Western,Kurunegala,43220
North Western,Kurunegala,43261
Eastern,Ampara,43412
Eastern,Ampara,43413
North Western,Puttalam,43440
North Western,Puttalam,43443
North Western,Puttalam,43449
North Western,Kurunegala,43483
North Western,Kurunegala,43484
North Western,Kurunegala,43494
North Western,Kurunegala,43518
Central,Kandy,43523
Central,Matale,43526
Central,Matale,43530
Uva,Badulla,43571
Eastern,Ampara,43642
Eastern,Ampara,43662
North Western,Kurunegala,43738
North Western,Kurunegala,43760
Central,Matale,43779
Eastern,Ampara,43914
North Western,Kurunegala,43957
North Western,Kurunegala,43980
North Western,Kurunegala,43984
North Western,Kurunegala,43992
North Western,Kurunegala,43995
North Western,Kurunegala,44002
Central,Matale,44039
North Western,Puttalam,44194
North Western,Puttalam,44197
North Western,Kurunegala,44204
North Western,Kurunegala,44215
North Western,Kurunegala,44226
North Western,Kurunegala,44247
North Western,Kurunegala,44255
Central,Matale,44282
Central,Matale,44284
Eastern,Ampara,44356
North Western,Kurunegala,44470
North Western,Kurunegala,44486
North Western,Kurunegala,44503
North Western,Kurunegala,44504
North Western,Kurunegala,44510
North Western,Kurunegala,44517
Central,Matale,44534
Uva,Badulla,44578
Eastern,Batticaloa,44666
North Western,Puttalam,44694
North Western,Puttalam,44697
North Western,Kurunegala,44716
North Western,Kurunegala,44724
North Western,Kurunegala,44743
North Western,Kurunegala,44755
North Western,Kurunegala,44756
North Western,Kurunegala,44757
North Western,Kurunegala,44758
Central,Matale,44786
Central,Matale,44787
Eastern,Batticaloa,44911
North Western,Kurunegala,44963
North Western,Kurunegala,45005
North Western,Kurunegala,45006
North Western,Kurunegala,45007
North Western,Kurunegala,45008
Central,Matale,45039
Eastern,Ampara,45114
Eastern,Batticaloa,45168
North Western,Puttalam,45200
North Western,Puttalam,45203
North Western,Kurunegala,45208
North Western,Kurunegala,45237
North Western,Kurunegala,45254
North Western,Kurunegala,45256
North Western,Kurunegala,45258
North Western,Kurunegala,45261
North Western,Kurunegala,45265
North Western,Kurunegala,45266
Eastern,Ampara,45401
North Western,Kurunegala,45479
North Western,Kurunegala,45502
North Western,Kurunegala,45507
North Western,Kurunegala,45509
North Western,Kurunegala,45526
Central,Matale,45538
Uva,Badulla,45582
Eastern,Batticaloa,45661
North Western,Puttalam,45701
North Western,Puttalam,45703
North Western,Kurunegala,45716
North Western,Kurunegala,45720
North Western,Kurunegala,45725
North Western,Kurunegala,45735
North Western,Kurunegala,45747
North Western,Kurunegala,45766
Central,Matale,45793
Central,Matale,45795
Eastern,Batticaloa,45919
North Western,Puttalam,45948
North Western,Kurunegala,46008
Central,Matale,46036
Central,Matale,46041
Central,Matale,46052
Central,Matale,46074
Eastern,Batticaloa,46145
North Western,Puttalam,46202
North Western,Puttalam,46209
North Western,Kurunegala,46242
North Western,Kurunegala,46265
Eastern,Ampara,46372
Eastern,Ampara,46384
North Western,Puttalam,46455
North Western,Kurunegala,46508
North Western,Kurunegala,46523
Central,Matale,46538
Central,Matale,46565
Central,Matale,46574
Eastern,Ampara,46626
North Western,Puttalam,46700
North Western,Kurunegala,46738
North Western,Kurunegala,46770
North Western,Kurunegala,46778
Central,Matale,46787
Central,Matale,46803
North Western,Puttalam,46954
North Western,Kurunegala,46964
North Western,Kurunegala,46972
North Western,Kurunegala,46976
North Western,Kurunegala,46981
North Western,Kurunegala,47011
North Western,Kurunegala,47015
Central,Matale,47047
North Western,Kurunegala,47253
North Western,Kurunegala,47288
Central,Matale,47295
Eastern,Ampara,47342
North Western,Puttalam,47454
North Western,Kurunegala,47535
Central,Matale,47543
North Western,Puttalam,47705
North Western,Puttalam,47709
North Western,Puttalam,47711
North Western,Kurunegala,47758
Central,Matale,47806
Eastern,Batticaloa,47889
Eastern,Batticaloa,47926
North Western,Puttalam,47968
North Western,Kurunegala,47972
North Western,Kurunegala,47977
North Western,Kurunegala,47982
North Western,Kurunegala,48032
North Western,Puttalam,48209
North Western,Kurunegala,48239
North Western,Kurunegala,48244
North Western,Kurunegala,48278
Eastern,Batticaloa,48420
Eastern,Batticaloa,48427
North Western,Kurunegala,48499
North Western,Kurunegala,48503
Central,Matale,48552
Central,Matale,48584
North Western,Puttalam,48713
North Western,Kurunegala,48759
Eastern,Ampara,48848
Eastern,Batticaloa,48898
North Western,Kurunegala,49017
Central,Matale,49049
North Western,Kurunegala,49229
North Western,Kurunegala,49241
North Western,Puttalam,49472
North Western,Kurunegala,49483
North Western,Kurunegala,49542
Central,Matale,49555
